0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,1
208,0
209,2
210,1
211,1
212,0
213,3
214,3
215,6
216,8
217,9
218,11
219,14
220,4
221,14
222,13
223,21
224,25
225,13
226,22
227,14
228,21
229,21
230,19
231,35
232,28
233,25
234,33
235,24
236,40
237,33
238,42
239,51
240,54
241,67
242,77
243,68
244,86
245,90
246,93
247,98
248,97
249,112
250,98
251,100
252,100
253,98
254,96
255,138
256,122
257,111
258,104
259,120
260,130
261,125
262,109
263,103
264,104
265,126
266,92
267,137
268,94
269,109
270,117
271,130
272,112
273,112
274,116
275,108
276,121
277,104
278,112
279,104
280,120
281,91
282,106
283,102
284,117
285,123
286,115
287,107
288,119
289,115
290,110
291,88
292,128
293,127
294,122
295,116
296,115
297,93
298,105
299,93
300,103
301,121
302,124
303,120
304,102
305,103
306,118
307,117
308,128
309,105
310,102
311,113
312,123
313,117
314,108
315,136
316,125
317,117
318,118
319,121
320,119
321,113
322,104
323,121
324,99
325,132
326,110
327,111
328,118
329,112
330,102
331,104
332,132
333,114
334,116
335,124
336,115
337,129
338,112
339,105
340,132
341,107
342,132
343,113
344,131
345,112
346,131
347,105
348,116
349,121
350,84
351,136
352,139
353,113
354,118
355,120
356,117
357,144
358,99
359,146
360,110
361,107
362,116
363,104
364,115
365,132
366,133
367,112
368,113
369,93
370,131
371,119
372,122
373,127
374,134
375,125
376,118
377,130
378,117
379,130
380,140
381,135
382,123
383,113
384,149
385,110
386,127
387,144
388,121
389,120
390,114
391,112
392,134
393,130
394,118
395,139
396,119
397,112
398,131
399,145
400,144
401,123
402,149
403,123
404,129
405,125
406,117
407,124
408,122
409,115
410,132
411,105
412,106
413,121
414,107
415,147
416,127
417,118
418,135
419,108
420,133
421,118
422,94
423,119
424,104
425,124
426,118
427,116
428,137
429,141
430,106
431,131
432,140
433,115
434,112
435,122
436,126
437,124
438,135
439,128
440,130
441,119
442,112
443,115
444,120
445,133
446,114
447,123
448,110
449,132
450,117
451,133
452,116
453,119
454,128
455,115
456,124
457,105
458,120
459,110
460,142
461,126
462,109
463,108
464,116
465,124
466,107
467,113
468,105
469,115
470,131
471,111
472,124
473,120
474,128
475,105
476,116
477,133
478,123
479,114
480,111
481,116
482,115
483,129
484,124
485,125
486,118
487,127
488,116
489,123
490,104
491,126
492,122
493,101
494,121
495,98
496,126
497,96
498,118
499,110
500,114
501,111
502,122
503,124
504,133
505,106
506,113
507,115
508,120
509,107
510,121
511,104
512,126
513,109
514,137
515,133
516,112
517,118
518,131
519,116
520,119
521,117
522,138
523,126
524,131
525,118
526,118
527,118
528,110
529,114
530,107
531,122
532,120
533,127
